type>question>options>tone>answer
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>verbose>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>concise>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>colloquial>I am familiar with Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>explanatory>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>annoyed>Graph algorithms.
MULTI-SELECT>What are some of the key challenges facing your business?>Competition; Economic conditions; Technology changes; Regulations; Finding and retaining talent>verbose>Competition is one of the key challenges facing your business.
MULTI-SELECT>What supply chain management strategies do you utilize?>Just-in-time (JIT) inventory; Vendor managed inventory (VMI); Supplier relationship management (SRM); Risk management; Supply chain diversification>colloquial>Supply chain diversification.
MULTI-SELECT>What supply chain management strategies do you utilize?>Just-in-time (JIT) inventory; Vendor managed inventory (VMI); Supplier relationship management (SRM); Risk management; Supply chain diversification>explanatory>Supply chain diversification.
MULTI-SELECT>What supply chain management strategies do you utilize?>Just-in-time (JIT) inventory; Vendor managed inventory (VMI); Supplier relationship management (SRM); Risk management; Supply chain diversification>annoyed>Supply chain diversification.
MULTI-SELECT>What technologies are you currently implementing or exploring?>Automation; Robotics; Artificial intelligence (AI); Internet of Things (IoT); Big data analytics>verbose>I am currently implementing or exploring the Internet of Things (IoT).
MULTI-SELECT>What technologies are you currently implementing or exploring?>Automation; Robotics; Artificial intelligence (AI); Internet of Things (IoT); Big data analytics>concise>I am currently implementing or exploring the Internet of Things (IoT).
MULTI-SELECT>What technologies are you currently implementing or exploring?>Automation; Robotics; Artificial intelligence (AI); Internet of Things (IoT); Big data analytics>colloquial>I am currently implementing or exploring the Internet of Things (IoT).
MULTI-SELECT>What technologies are you currently implementing or exploring?>Automation; Robotics; Artificial intelligence (AI); Internet of Things (IoT); Big data analytics>explanatory>I am currently implementing or exploring the Internet of Things (IoT).
MULTI-SELECT>What technologies are you currently implementing or exploring?>Automation; Robotics; Artificial intelligence (AI); Internet of Things (IoT); Big data analytics>annoyed>I am currently implementing or exploring the Internet of Things (IoT).
MULTI-SELECT>What testing methodologies are you familiar with?>Unit testing; Integration testing; System testing; User acceptance testing; Agile testing; Waterfall testing>verbose>I am familiar with Integration testing.
MULTI-SELECT>What testing methodologies are you familiar with?>Unit testing; Integration testing; System testing; User acceptance testing; Agile testing; Waterfall testing>concise>I am familiar with integration testing.
MULTI-SELECT>What testing methodologies are you familiar with?>Unit testing; Integration testing; System testing; User acceptance testing; Agile testing; Waterfall testing>colloquial>I am familiar with Unit testing.
MULTI-SELECT>What testing methodologies are you familiar with?>Unit testing; Integration testing; System testing; User acceptance testing; Agile testing; Waterfall testing>explanatory>I am familiar with Integration testing.
MULTI-SELECT>What testing methodologies are you familiar with?>Unit testing; Integration testing; System testing; User acceptance testing; Agile testing; Waterfall testing>annoyed>I am familiar with Unit testing.
MULTI-SELECT>What tools do you use for project management?>Jira; Trello; Asana; Monday.com; Microsoft Project>verbose>Jira is the best project management tool.
MULTI-SELECT>What tools do you use for project management?>Jira; Trello; Asana; Monday.com; Microsoft Project>concise>Jira.
MULTI-SELECT>What tools do you use for project management?>Jira; Trello; Asana; Monday.com; Microsoft Project>colloquial>Jira is the best project management tool.
MULTI-SELECT>What tools do you use for project management?>Jira; Trello; Asana; Monday.com; Microsoft Project>explanatory>Jira is the best project management tool.
MULTI-SELECT>What tools do you use for project management?>Jira; Trello; Asana; Monday.com; Microsoft Project>annoyed>Jira is the best project management tool.
MULTI-SELECT>What training programs do you offer your employees?>Safety training; Technical skills training; Leadership development; Environmental awareness training; On-the-job training>verbose>Safety training is the most popular training program.
MULTI-SELECT>What training programs do you offer your employees?>Safety training; Technical skills training; Leadership development; Environmental awareness training; On-the-job training>concise>On-the-job training.
MULTI-SELECT>What training programs do you offer your employees?>Safety training; Technical skills training; Leadership development; Environmental awareness training; On-the-job training>colloquial>Safety training is the most popular training program.
MULTI-SELECT>What training programs do you offer your employees?>Safety training; Technical skills training; Leadership development; Environmental awareness training; On-the-job training>explanatory>Safety training is the most popular training program.
MULTI-SELECT>What training programs do you offer your employees?>Safety training; Technical skills training; Leadership development; Environmental awareness training; On-the-job training>annoyed>On-the-job training.
MULTI-SELECT>What type of sales leads are you most interested in?>High-value leads; Qualified leads; Marketing qualified leads (MQLs); Sales qualified leads (SQLs); All leads>verbose>High-value leads.
MULTI-SELECT>What type of sales leads are you most interested in?>High-value leads; Qualified leads; Marketing qualified leads (MQLs); Sales qualified leads (SQLs); All leads>concise>High-value leads.
MULTI-SELECT>What type of sales leads are you most interested in?>High-value leads; Qualified leads; Marketing qualified leads (MQLs); Sales qualified leads (SQLs); All leads>colloquial>High-value leads.
MULTI-SELECT>What type of sales leads are you most interested in?>High-value leads; Qualified leads; Marketing qualified leads (MQLs); Sales qualified leads (SQLs); All leads>explanatory>High-value leads.
MULTI-SELECT>What type of sales leads are you most interested in?>High-value leads; Qualified leads; Marketing qualified leads (MQLs); Sales qualified leads (SQLs); All leads>annoyed>High-value leads.
MULTI-SELECT>What types of  cloud computing services do you use?>Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud>verbose>I use Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud.
MULTI-SELECT>What types of  cloud computing services do you use?>Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud>concise>Microsoft Azure is a cloud computing service.
MULTI-SELECT>What types of  cloud computing services do you use?>Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud>colloquial>I use Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud.
MULTI-SELECT>What types of  cloud computing services do you use?>Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud>explanatory>I use Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud.
MULTI-SELECT>What types of  cloud computing services do you use?>Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud>annoyed>I use Amazon Web Services (AWS); Microsoft Azure; Google Cloud Platform (GCP); IBM Cloud; Oracle Cloud.
MULTI-SELECT>What types of  cybersecurity software do you use?>CrowdStrike; Palo Alto Networks; Fortinet; Check Point; Symantec>verbose>Fortinet is a cybersecurity software company.
MULTI-SELECT>What types of  cybersecurity software do you use?>CrowdStrike; Palo Alto Networks; Fortinet; Check Point; Symantec>concise>Fortinet is a cybersecurity software company.
MULTI-SELECT>What types of  cybersecurity software do you use?>CrowdStrike; Palo Alto Networks; Fortinet; Check Point; Symantec>colloquial>Fortinet is a cybersecurity software company.
MULTI-SELECT>What types of  cybersecurity software do you use?>CrowdStrike; Palo Alto Networks; Fortinet; Check Point; Symantec>explanatory>Fortinet is a cybersecurity software.
MULTI-SELECT>What types of  cybersecurity software do you use?>CrowdStrike; Palo Alto Networks; Fortinet; Check Point; Symantec>annoyed>Fortinet is a cybersecurity software company.
MULTI-SELECT>What types of  data analytics tools do you use?>Tableau; Power BI; Qlik Sense; Splunk; Google Data Studio>verbose>Tableau.
MULTI-SELECT>What types of  data analytics tools do you use?>Tableau; Power BI; Qlik Sense; Splunk; Google Data Studio>concise>Tableau.
MULTI-SELECT>What types of  data analytics tools do you use?>Tableau; Power BI; Qlik Sense; Splunk; Google Data Studio>colloquial>Tableau is my favorite data analytics tool.
MULTI-SELECT>What types of  data analytics tools do you use?>Tableau; Power BI; Qlik Sense; Splunk; Google Data Studio>explanatory>Tableau.
MULTI-SELECT>What types of  data analytics tools do you use?>Tableau; Power BI; Qlik Sense; Splunk; Google Data Studio>annoyed>Tableau.
MULTI-SELECT>What types of  maintenance software do you use?>SAP PM; IBM Maximo; Oracle EAM; Infor EAM; Microsoft Dynamics 365>verbose>Microsoft Dynamics 365.
MULTI-SELECT>What types of  maintenance software do you use?>SAP PM; IBM Maximo; Oracle EAM; Infor EAM; Microsoft Dynamics 365>concise>Microsoft Dynamics 365.
MULTI-SELECT>What types of  maintenance software do you use?>SAP PM; IBM Maximo; Oracle EAM; Infor EAM; Microsoft Dynamics 365>colloquial>IBM Maximo is a maintenance software. IBM Maximo is a maintenance software.
MULTI-SELECT>What types of  maintenance software do you use?>SAP PM; IBM Maximo; Oracle EAM; Infor EAM; Microsoft Dynamics 365>explanatory>Microsoft Dynamics 365.
